book,code,description,category,trade,hours,parts_allowance,list_price,labor_value,active,notes
hvac,HH6C,Main Comfort Control System Renovation · Voltage conversion system rejuvenation · Renovate system control wiring · Electrical termination service · Perfor,Services,hvac,5.25,0,964.00,964.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH6D,Complete Comfort Control System Renovation · Complete voltage protection system renovation · Renovate system control wiring · Voltage conversion system r,Services,hvac,6.5,0,1212.00,1212.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH6E,Complete Comfort Control System Renovation · Complete voltage protection system renovation · Renovate system control wiring · Voltage conversion system r,Services,hvac,7.75,0,1433.00,1433.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH7A,Moisture Restoration System Rejuvenation · Performance and safety testing · 30 day warranty,Services,hvac,1,0,192.00,192.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH7B,Basic Moisture Restoration System Renovation · Transfer media service · Performance and safety testing · 6 month warranty,Services,hvac,1.5,0,288.00,288.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH7C,Main Moisture Restoration System Renovation · Upgrade moisture transfer medias · Isolation control system service · Water removal system treatment servic,Services,hvac,2,0,384.00,384.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH7D,Complete Moisture Restoration System Renovation · Upgrade moisture transfer medias · Extreme comfort control system renovation · Isolation control system,Services,hvac,2.5,0,480.00,480.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH7E,Complete Moisture Restoration System Renovation · Upgrade moisture transfer medias · Extreme comfort control system renovation · Isolation control system,Services,hvac,3,0,576.00,576.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH8A,Moisture Restoration System Rejuvenation · Performance and safety testing · 30 day warranty,Services,hvac,1.75,0,332.00,332.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH8B,Basic Moisture Restoration System Renovation · Transfer media service · Performance and safety testing · 6 month warranty,Services,hvac,2.75,0,498.00,498.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH8C,Main Moisture Restoration System Renovation · Upgrade moisture transfer medias · Isolation control system service · Water removal system treatment servic,Services,hvac,3.5,0,665.00,665.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH8D,Complete Moisture Restoration System Renovation · Upgrade moisture transfer medias · Extreme comfort control system renovation · Isolation control system,Services,hvac,4.5,0,831.00,831.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH8E,Complete Moisture Restoration System Renovation · Upgrade moisture transfer medias · Extreme comfort control system renovation · Isolation control system,Services,hvac,5.5,0,997.00,997.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH9A,Moisture Restoration System Rejuvenation · Performance and safety testing · 30 day warranty,Services,hvac,5,0,916.00,916.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH9B,Basic Moisture Restoration System Renovation · Basic comfort and safety upgrades · Performance and safety testing · 6 month warranty,Services,hvac,7.5,0,1374.00,1374.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH9C,Main Moisture Restoration System Renovation · Comfort control system · Inline mineral filters · Performance and safety testing · 1 year warranty,Services,hvac,10,0,1832.00,1832.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH9D,Complete Moisture Restoration System Renovation · Extreme comfort control system renovation · Inline mineral filters · Complete water removal system reno,Services,hvac,12.5,0,2290.00,2290.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HH9E,Complete Moisture Restoration System Renovation · Extreme comfort control system renovation · Inline mineral filters · Complete water removal system reno,Services,hvac,14.75,0,2748.00,2748.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI10A,Refrigerant Pressure Control System Rejuvenation · Performance and safety testing · 30 day warranty,Services,hvac,10.5,0,1925.00,1925.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI10B,"Basic Refrigerant Pressure Control System Renovation · Recover, recharge, repair and test · Install inline refrigerant filters and flush lines · Performa",Services,hvac,13,0,2406.00,2406.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI10C,Main Refrigerant Pressure Control System Renovation · Install inline refrigerant filters and flush lines · Recharge and calibrate with new refrigerant a,Services,hvac,14.5,0,2694.00,2694.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI10D,Complete Refrigerant Pressure Control System Renovation · Install inline refrigerant filters and flush lines · Recharge and calibrate with new refrigera,Services,hvac,16.75,0,3079.00,3079.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI10E,Complete Refrigerant Pressure Control System Renovation · Install inline refrigerant filters and flush lines · Recharge and calibrate with new refrigera,Services,hvac,20.75,0,3849.00,3849.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI11A,Refrigerant Pressure Control System Rejuvenation · Performance and safety testing · 30 day warranty,Services,hvac,11.75,0,2157.00,2157.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI11B,"Basic Refrigerant Pressure Control System Renovation · Recover, recharge, repair and test · Install inline refrigerant filters and flush lines · Performa",Services,hvac,14.5,0,2696.00,2696.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI11C,Main Refrigerant Pressure Control System Renovation · Install inline refrigerant filters and flush lines · Recharge and calibrate with new refrigerant a,Services,hvac,16.25,0,3019.00,3019.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI11D,Complete Refrigerant Pressure Control System Renovation · Install inline refrigerant filters and flush lines · Recharge and calibrate with new refrigera,Services,hvac,18.75,0,3451.00,3451.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI11E,Complete Refrigerant Pressure Control System Renovation · Install inline refrigerant filters and flush lines · Recharge and calibrate with new refrigera,Services,hvac,23.25,0,4313.00,4313.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI12A,Pressure Control System Reset and Calibration Service · Performance and safety testing · 30 day warranty,Services,hvac,4,0,763.00,763.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI12B,Basic Electronic Pressure Control System Renovation · Electrical termination service · Performance and safety testing · 6 month warranty,Services,hvac,5.25,0,954.00,954.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI12C,Main Electronic Pressure Control System Renovation · Calibrate refrigerant system to factory specs · Inline lubrication and treatment service · Electrica,Services,hvac,5.75,0,1068.00,1068.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI12D,Complete Electronic Pressure Control System Renovation · Calibrate refrigerant system to factory specs · Inline lubrication and treatment service · Resto,Services,hvac,6.5,0,1221.00,1221.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI12E,Complete Electronic Pressure Control System Renovation · Calibrate refrigerant system to factory specs · Inline lubrication and treatment service · Resto,Services,hvac,8.25,0,1526.00,1526.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI13A,Pressure Control System Reset and Calibration Service · Performance and safety testing · 30 day warranty,Services,hvac,5.5,0,998.00,998.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI13B,Basic Electronic Pressure Control System Renovation · Electrical termination service · Performance and safety testing · 6 month warranty,Services,hvac,6.75,0,1247.00,1247.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
hvac,HI13C,Main Electronic Pressure Control System Renovation · Calibrate refrigerant system to factory specs · Inline lubrication and treatment service · Electrica,Services,hvac,7.5,0,1397.00,1397.00,true,Non Inventory; hours est. from list @ $185/hr — edit if your typical hrs differ
