Item Name,Description,Mfg Part #,Category,Rate,Item Type
HA15A,Refrigerant Circulation Pumping System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,4162,Non Inventory
HA15B,Basic Refrigerant Circulation Pumping System Renovation\CRInstall inline refrigerant filters - Install compressor terminal kit\CRCoolant system recharge,,Services,4578,Non Inventory
HA15C,Main Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRInstall inline refrigerant filters\CRInstall performance,,Services,5411,Non Inventory
HA15D,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,6243,Non Inventory
HA15E,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,6659,Non Inventory
HA16A,Refrigerant Circulation Pumping System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,4570,Non Inventory
HA16B,Basic Refrigerant Circulation Pumping System Renovation\CRInstall inline refrigerant filters - Install compressor terminal kit\CRCoolant system recharge,,Services,5027,Non Inventory
HA16C,Main Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRInstall inline refrigerant filters\CRInstall performance,,Services,5941,Non Inventory
HA16D,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,6855,Non Inventory
HA16E,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,7312,Non Inventory
HA17A,Refrigerant Circulation Pumping System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,5163,Non Inventory
HA17B,Basic Refrigerant Circulation Pumping System Renovation\CRInstall inline refrigerant filters - Install compressor terminal kit\CRCoolant system recharge,,Services,5679,Non Inventory
HA17C,Main Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRInstall inline refrigerant filters\CRInstall performance,,Services,6712,Non Inventory
HA17D,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,7744,Non Inventory
HA17E,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,8260,Non Inventory
HA18A,Refrigerant Circulation Pumping System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,5692,Non Inventory
HA18B,Basic Refrigerant Circulation Pumping System Renovation\CRInstall inline refrigerant filters - Install compressor terminal kit\CRCoolant system recharge,,Services,6261,Non Inventory
HA18C,Main Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRInstall inline refrigerant filters\CRInstall performance,,Services,7399,Non Inventory
HA18D,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,8537,Non Inventory
HA18E,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,9106,Non Inventory
HA19A,Refrigerant Circulation Pumping System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,6097,Non Inventory
HA19B,Basic Refrigerant Circulation Pumping System Renovation\CRInstall inline refrigerant filters - Install compressor terminal kit\CRCoolant system recharge,,Services,6706,Non Inventory
HA19C,Main Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRInstall inline refrigerant filters\CRInstall performance,,Services,7925,Non Inventory
HA19D,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,9145,Non Inventory
HA19E,Complete Refrigerant Circulation Pumping System Renovation\CRFlush and purge entire coolant system\CRUpgrade to complete power protection system\CRInstal,,Services,9754,Non Inventory
HA1A,Refrigerant Circulation Pumping System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,2410,Non Inventory
