Item Name,Description,Mfg Part #,Category,Rate,Item Type
HG14A,Refrigerant Containment System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,2077,Non Inventory
HG14B,Basic Refrigerant Containment System Renovation \CRInstall in line coolant filter\CRFlush coolant lines\CRRecover / Reclaim / Recharge Refrigerant\CRPerfo,,Services,3115,Non Inventory
HG14C,Main Refrigerant Containment System Renovation\CRRestore system to prime condition\CRInstall inline coolant moisture removal filters\CRFlush coolant line,,Services,4154,Non Inventory
HG14D,Complete Refrigerant Containment System Renovation\CRComplete internal leak sealer installation\CRComplete balance and recharge coolant system\CRInstall,,Services,5192,Non Inventory
HG14E,Complete Refrigerant Containment System Renovation\CRComplete internal leak sealer installation\CRComplete balance and recharge coolant system\CRInstall,,Services,6230,Non Inventory
HG15A,Auxiliary Heating System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,643,Non Inventory
HG15B,Basic Auxiliary Heating System Renovation\CRRepair damaged electrical components and auxiliary controls\CRPerformance and safety testing \CR6 month warra,,Services,964,Non Inventory
HG15C,Main Auxiliary Heating System Renovation\CRRejuvenate electrical systems and auxiliary controls\CRElectrical termination service\CRPerformance and safety,,Services,1286,Non Inventory
HG15D,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,1607,Non Inventory
HG15E,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,1929,Non Inventory
HG16A,Auxiliary Heating System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,931,Non Inventory
HG16B,Basic Auxiliary Heating System Renovation\CRRepair damaged electrical components and auxiliary controls\CRPerformance and safety testing \CR6 month warra,,Services,1396,Non Inventory
HG16C,Main Auxiliary Heating System Renovation\CRRejuvenate electrical systems and auxiliary controls\CRElectrical termination service\CRPerformance and safety,,Services,1861,Non Inventory
HG16D,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,2326,Non Inventory
HG16E,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,2792,Non Inventory
HG17A,Auxiliary Heating System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,1101,Non Inventory
HG17B,Basic Auxiliary Heating System Renovation\CRRepair damaged electrical components and auxiliary controls\CRPerformance and safety testing \CR6 month warra,,Services,1652,Non Inventory
HG17C,Main Auxiliary Heating System Renovation\CRRejuvenate electrical systems and auxiliary controls\CRElectrical termination service\CRPerformance and safety,,Services,2203,Non Inventory
HG17D,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,2754,Non Inventory
HG17E,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,3304,Non Inventory
HG18A,Auxiliary Heating System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,984,Non Inventory
HG18B,Basic Auxiliary Heating System Renovation\CRRepair damaged electrical components and auxiliary controls\CRPerformance and safety testing \CR6 month warra,,Services,1475,Non Inventory
HG18C,Main Auxiliary Heating System Renovation\CRRejuvenate electrical systems and auxiliary controls\CRElectrical termination service\CRPerformance and safety,,Services,1967,Non Inventory
HG18D,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,2459,Non Inventory
HG18E,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,2951,Non Inventory
HG19A,Auxiliary Heating System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,1166,Non Inventory
HG19B,Basic Auxiliary Heating System Renovation\CRRepair damaged electrical components and auxiliary controls\CRPerformance and safety testing \CR6 month warra,,Services,1749,Non Inventory
HG19C,Main Auxiliary Heating System Renovation\CRRejuvenate electrical systems and auxiliary controls\CRElectrical termination service\CRPerformance and safety,,Services,2332,Non Inventory
HG19D,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,2915,Non Inventory
HG19E,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,3498,Non Inventory
HG1A,"Hauling, Launching & Moring",,Services,225,Non Inventory
HG1B,Basic Refrigerant Containment System Renovation \CRInstall in line coolant filter\CRFlush coolant lines\CRRecover / Reclaim / Recharge Refrigerant\CRPerfo,,Services,2134,Non Inventory
HG1C,Main Refrigerant Containment System Renovation\CRRestore system to prime condition\CRInstall inline coolant moisture removal filters\CRFlush coolant line,,Services,2845,Non Inventory
HG1D,Complete Refrigerant Containment System Renovation\CRComplete internal leak sealer installation\CRComplete balance and recharge coolant system\CRInstall,,Services,3557,Non Inventory
HG1E,Winterization-\CRDrain gear lube from lower unit and pressure test\CRFill lower unit with new gear and replace gaskets\CRRemove propeller inspect and visual,,Services,585,Non Inventory
HG20A,Auxiliary Heating System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,1349,Non Inventory
HG20B,Basic Auxiliary Heating System Renovation\CRRepair damaged electrical components and auxiliary controls\CRPerformance and safety testing \CR6 month warra,,Services,2023,Non Inventory
HG20C,Main Auxiliary Heating System Renovation\CRRejuvenate electrical systems and auxiliary controls\CRElectrical termination service\CRPerformance and safety,,Services,2697,Non Inventory
HG20D,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,3372,Non Inventory
HG20E,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,4046,Non Inventory
HG21A,Refrigerant Filtering System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,1304,Non Inventory
HG21B,Basic Refrigerant Filtering System Renovation \CRPerformance and safety testing \CR6 month warranty,,Services,1630,Non Inventory
HG21C,Main Refrigerant Filtering System Renovation \CRTriple evacuation and line purge\CRInstall acid preventatives\CRPerformance enhancement upgrade\CRPerforma,,Services,1825,Non Inventory
HG21D,Complete Refrigerant Filtering System Renovation\CRInstall internal leak sealers and chemical dryers \CRRestore system to prime condition\CRRenovate perf,,Services,2086,Non Inventory
HG21E,Complete Refrigerant Filtering System Renovation\CRInstall internal leak sealers and chemical dryers \CRRestore system to prime condition\CRRenovate perf,,Services,2607,Non Inventory
HG22A,Refrigerant Filtering System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,1509,Non Inventory
HG22B,Basic Refrigerant Filtering System Renovation \CRPerformance and safety testing \CR6 month warranty,,Services,1887,Non Inventory
HG22C,Main Refrigerant Filtering System Renovation \CRTriple evacuation and line purge\CRInstall acid preventatives\CRPerformance enhancement upgrade\CRPerforma,,Services,2113,Non Inventory
HG22D,Complete Refrigerant Filtering System Renovation\CRInstall internal leak sealers and chemical dryers \CRRestore system to prime condition\CRRenovate perf,,Services,2415,Non Inventory
HG22E,Complete Refrigerant Filtering System Renovation\CRInstall internal leak sealers and chemical dryers \CRRestore system to prime condition\CRRenovate perf,,Services,3019,Non Inventory
HG23A,Refrigerant Filtering System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,1715,Non Inventory
HG23B,Basic Refrigerant Filtering System Renovation \CRPerformance and safety testing \CR6 month warranty,,Services,2144,Non Inventory
HG23C,Main Refrigerant Filtering System Renovation \CRTriple evacuation and line purge\CRInstall acid preventatives\CRPerformance enhancement upgrade\CRPerforma,,Services,2401,Non Inventory
HG23D,Complete Refrigerant Filtering System Renovation\CRInstall internal leak sealers and chemical dryers \CRRestore system to prime condition\CRRenovate perf,,Services,2744,Non Inventory
HG23E,Complete Refrigerant Filtering System Renovation\CRInstall internal leak sealers and chemical dryers \CRRestore system to prime condition\CRRenovate perf,,Services,3430,Non Inventory
HG24A,Refrigerant Filtering System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,1297,Non Inventory
HG24B,Basic Refrigerant Filtering System Renovation\CRRecharge with performance inspection\CRFlush and evacuate all coolant lines\CRPerformance and safety test,,Services,1946,Non Inventory
HG24C,Main Refrigerant Filtering System Renovation\CRTriple evacuation and line purge\CRInstall acid preventatives\CRPerformance enhancement upgrade\CRPerforman,,Services,2595,Non Inventory
HG24D,Complete Refrigerant Filtering System Renovation\CRFollow up visit to remove contaminated filtering system\CRRestore system to prime condition\CRRenovate,,Services,3243,Non Inventory
HG24E,Complete Refrigerant Filtering System Renovation\CRFollow up visit to remove contaminated filtering system\CRRestore system to prime condition\CRRenovate,,Services,3892,Non Inventory
HG25A,Refrigerant Filtering System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,1385,Non Inventory
HG25B,Basic Refrigerant Filtering System Renovation\CRRecharge with performance inspection\CRFlush and evacuate all coolant lines\CRPerformance and safety test,,Services,2077,Non Inventory
HG25C,Main Refrigerant Filtering System Renovation\CRTriple evacuation and line purge\CRInstall acid preventatives\CRPerformance enhancement upgrade\CRPerforman,,Services,2770,Non Inventory
HG25D,Complete Refrigerant Filtering System Renovation\CRFollow up visit to remove contaminated filtering system\CRRestore system to prime condition\CRRenovate,,Services,3462,Non Inventory
HG25E,Complete Refrigerant Filtering System Renovation\CRFollow up visit to remove contaminated filtering system\CRRestore system to prime condition\CRRenovate,,Services,4154,Non Inventory
HG26A,Refrigerant Filtering System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,1472,Non Inventory
HG26B,Basic Refrigerant Filtering System Renovation\CRRecharge with performance inspection\CRFlush and evacuate all coolant lines\CRPerformance and safety test,,Services,2208,Non Inventory
HG26C,Main Refrigerant Filtering System Renovation\CRTriple evacuation and line purge\CRInstall acid preventatives\CRPerformance enhancement upgrade\CRPerforman,,Services,2944,Non Inventory
HG26D,Complete Refrigerant Filtering System Renovation\CRFollow up visit to remove contaminated filtering system\CRRestore system to prime condition\CRRenovate,,Services,3680,Non Inventory
HG26E,Complete Refrigerant Filtering System Renovation\CRFollow up visit to remove contaminated filtering system\CRRestore system to prime condition\CRRenovate,,Services,4417,Non Inventory
HG27A,Refrigerant PH calibration service\CRPerformance and safety testing\CR30 day warranty,,Services,510,Non Inventory
HG27B,Refrigerant Moisture Control Additives\CRFlush and evacuate all coolant lines\CRPerformance and safety testing\CR6 month warranty,,Services,764,Non Inventory
HG27C,Refrigerant Moisture Control Additives\CRTriple evacuation and line purge\CRInstall acid preventatives\CRInline refrigerant filter\CRPerformance and safet,,Services,1019,Non Inventory
HG27D,Refrigerant Moisture Control Additives\CRInstall chemical drying system\CRRestore system to prime condition\CRRenovate performance enhancement system\CRTr,,Services,1274,Non Inventory
HG27E,Refrigerant Moisture Control Additives\CRInstall chemical drying system\CRRestore system to prime condition\CRRenovate performance enhancement system\CRTr,,Services,1529,Non Inventory
HG28A,Refrigerant PH calibration service\CRPerformance and safety testing\CR30 day warranty,,Services,662,Non Inventory
HG28B,Refrigerant Moisture Control Additives\CRFlush and evacuate all coolant lines\CRPerformance and safety testing\CR6 month warranty,,Services,994,Non Inventory
HG28C,Refrigerant Moisture Control Additives\CRTriple evacuation and line purge\CRInstall acid preventatives\CRInline refrigerant filter\CRPerformance and safet,,Services,1325,Non Inventory
HG28D,Refrigerant Moisture Control Additives\CRInstall chemical drying system\CRRestore system to prime condition\CRRenovate performance enhancement system\CRTr,,Services,1656,Non Inventory
HG28E,Refrigerant Moisture Control Additives\CRInstall chemical drying system\CRRestore system to prime condition\CRRenovate performance enhancement system\CRTr,,Services,1987,Non Inventory
HG2A,"No Assist Charge for H, L & M",,Services,75,Non Inventory
HG2B,Basic Refrigerant Containment System Renovation \CRInstall in line coolant filter\CRFlush coolant lines\CRRecover / Reclaim / Recharge Refrigerant\CRPerfo,,Services,2394,Non Inventory
HG2C,Main Refrigerant Containment System Renovation\CRRestore system to prime condition\CRInstall inline coolant moisture removal filters\CRFlush coolant line,,Services,3192,Non Inventory
HG2D,Complete Refrigerant Containment System Renovation\CRComplete internal leak sealer installation\CRComplete balance and recharge coolant system\CRInstall,,Services,3990,Non Inventory
HG2E,Bottom Boat paint,,Services,825,Non Inventory
HG3A,Spring Start,,Services,120,Non Inventory
HG3B,Basic Auxiliary Heating System Renovation\CRRepair damaged electrical components and auxiliary controls\CRPerformance and safety testing \CR6 month warra,,Services,449,Non Inventory
HG3C,Main Auxiliary Heating System Renovation\CRRejuvenate electrical systems and auxiliary controls\CRElectrical termination service\CRPerformance and safety,,Services,599,Non Inventory
HG3D,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,748,Non Inventory
HG3E,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,898,Non Inventory
HG4A,Interior boat cleaning,,Services,120,Non Inventory
HG4B,Basic Auxiliary Heating System Renovation\CRRepair damaged electrical components and auxiliary controls\CRPerformance and safety testing \CR6 month warra,,Services,673,Non Inventory
HG4C,Main Auxiliary Heating System Renovation\CRRejuvenate electrical systems and auxiliary controls\CRElectrical termination service\CRPerformance and safety,,Services,897,Non Inventory
HG4D,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,1122,Non Inventory
HG4E,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,1346,Non Inventory
HG5A,HLM Return Trip,,Services,120,Non Inventory
HG5B,Basic Auxiliary Heating System Renovation\CRRepair damaged electrical components and auxiliary controls\CRPerformance and safety testing \CR6 month warra,,Services,919,Non Inventory
HG5C,Main Auxiliary Heating System Renovation\CRRejuvenate electrical systems and auxiliary controls\CRElectrical termination service\CRPerformance and safety,,Services,1226,Non Inventory
HG5D,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,1532,Non Inventory
HG5E,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,1838,Non Inventory
HG6A,Auxiliary Heating System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,823,Non Inventory
HG6B,Basic Auxiliary Heating System Renovation\CRRepair damaged electrical components and auxiliary controls\CRPerformance and safety testing \CR6 month warra,,Services,1235,Non Inventory
HG6C,Main Auxiliary Heating System Renovation\CRRejuvenate electrical systems and auxiliary controls\CRElectrical termination service\CRPerformance and safety,,Services,1647,Non Inventory
HG6D,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,2058,Non Inventory
HG6E,Complete Auxiliary Heating System Renovation\CRRenovate electrical control system\CRHigh temperature safety service\CRUpgrade voltage distribution system,,Services,2470,Non Inventory
HG7A,Refrigerant Filtering System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,888,Non Inventory
HG7B,Basic Refrigerant Filtering System Renovation \CRPerformance and safety testing \CR6 month warranty,,Services,1109,Non Inventory
HG7C,Main Refrigerant Filtering System Renovation \CRTriple evacuation and line purge\CRInstall acid preventatives\CRPerformance enhancement upgrade\CRPerforma,,Services,1243,Non Inventory
HG7D,Complete Refrigerant Filtering System Renovation\CRInstall internal leak sealers and chemical dryers \CRRestore system to prime condition\CRRenovate perf,,Services,1420,Non Inventory
HG7E,Complete Refrigerant Filtering System Renovation\CRInstall internal leak sealers and chemical dryers \CRRestore system to prime condition\CRRenovate perf,,Services,1775,Non Inventory
HG8A,Refrigerant Filtering System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,1098,Non Inventory
HG8B,Basic Refrigerant Filtering System Renovation \CRPerformance and safety testing \CR6 month warranty,,Services,1373,Non Inventory
HG8C,Main Refrigerant Filtering System Renovation \CRTriple evacuation and line purge\CRInstall acid preventatives\CRPerformance enhancement upgrade\CRPerforma,,Services,1537,Non Inventory
HG8D,Complete Refrigerant Filtering System Renovation\CRInstall internal leak sealers and chemical dryers \CRRestore system to prime condition\CRRenovate perf,,Services,1757,Non Inventory
HG8E,Complete Refrigerant Filtering System Renovation\CRInstall internal leak sealers and chemical dryers \CRRestore system to prime condition\CRRenovate perf,,Services,2196,Non Inventory
HG9A,Refrigerant Filtering System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,1012,Non Inventory
HG9B,Basic Refrigerant Filtering System Renovation\CRRecharge with performance inspection\CRFlush and evacuate all coolant lines\CRPerformance and safety test,,Services,1518,Non Inventory
HG9C,Main Refrigerant Filtering System Renovation\CRTriple evacuation and line purge\CRInstall acid preventatives\CRPerformance enhancement upgrade\CRPerforman,,Services,2024,Non Inventory
HG9D,Complete Refrigerant Filtering System Renovation\CRFollow up visit to remove contaminated filtering system\CRRestore system to prime condition\CRRenovate,,Services,2529,Non Inventory
HG9E,Complete Refrigerant Filtering System Renovation\CRFollow up visit to remove contaminated filtering system\CRRestore system to prime condition\CRRenovate,,Services,3035,Non Inventory
HH10A,Moisture Restoration System Rejuvenation \CRPerformance and safety testing\CR30 day warranty,,Services,1161,Non Inventory
HH10B,Basic Moisture Restoration System Renovation\CRBasic comfort and safety upgrades\CRPerformance and safety testing\CR6 month warranty,,Services,1741,Non Inventory
HH10C,Main Moisture Restoration System Renovation\CRComfort control system \CRInline mineral filters\CRPerformance and safety testing\CR1 year warranty,,Services,2322,Non Inventory
HH10D,Complete Moisture Restoration System Renovation\CRExtreme comfort control system renovation\CRInline mineral filters\CRComplete water removal system reno,,Services,2902,Non Inventory
HH10E,Complete Moisture Restoration System Renovation\CRExtreme comfort control system renovation\CRInline mineral filters\CRComplete water removal system reno,,Services,3483,Non Inventory
HH11A,Bacteria Prevention System Rejuvenation \CRPerformance and safety testing\CR30 day warranty,,Services,352,Non Inventory
HH11B,Basic Bacteria Prevention System Renovation \CRAir fresh treatment service\CRPerformance and safety testing\CR6 month warranty,,Services,529,Non Inventory
HH11C,Main Bacteria Prevention System Renovation\CRAir loss reduction service\CRAir fresh treatment service\CRPerformance and safety testing\CR1 year warranty,,Services,705,Non Inventory
HH11D,Complete Bacteria Prevention System Renovation \CRRestore heat transfer media to prime condition\CRAir loss reduction service\CRAir fresh treatment servi,,Services,881,Non Inventory
HH11E,Complete Bacteria Prevention System Renovation \CRRestore heat transfer media to prime condition\CRAir loss reduction service\CRAir fresh treatment servi,,Services,1057,Non Inventory
HH12A,Bacteria Prevention System Rejuvenation \CRPerformance and safety testing\CR30 day warranty,,Services,536,Non Inventory
HH12B,Basic Bacteria Prevention System Renovation \CRAir fresh treatment service\CRPerformance and safety testing\CR6 month warranty,,Services,803,Non Inventory
HH12C,Main Bacteria Prevention System Renovation\CRAir loss reduction service\CRAir fresh treatment service\CRPerformance and safety testing\CR1 year warranty,,Services,1071,Non Inventory
HH12D,Complete Bacteria Prevention System Renovation \CRRestore heat transfer media to prime condition\CRAir loss reduction service\CRAir fresh treatment servi,,Services,1339,Non Inventory
HH12E,Complete Bacteria Prevention System Renovation \CRRestore heat transfer media to prime condition\CRAir loss reduction service\CRAir fresh treatment servi,,Services,1607,Non Inventory
HH13A,Ultra Violet Bacteria Prevention System Rejuvenation  \CRPerformance and safety testing \CR30 day warranty,,Services,1050,Non Inventory
HH13B,Basic Ultra Violet Bacteria Prevention System Renovation\CRRestore system to prime condition\CRSingle treatment system\CRPerformance and safety testing \CR,,Services,1575,Non Inventory
HH13C,Main Ultra Violet Bacteria Prevention System Renovation\CRDual zone treatment\CRRestore system to prime condition\CRHeat transfer media treatment service,,Services,2100,Non Inventory
HH14A,Ultra Violet Bacteria Prevention System Rejuvenation  \CRPerformance and safety testing \CR30 day warranty,,Services,1385,Non Inventory
HH14B,Basic Ultra Violet Bacteria Prevention System Renovation\CRRestore system to prime condition\CRSingle treatment system\CRPerformance and safety testing \CR,,Services,2077,Non Inventory
HH14C,Main Ultra Violet Bacteria Prevention System Renovation\CRDual zone treatment\CRRestore system to prime condition\CRHeat transfer media treatment service,,Services,2769,Non Inventory
HH15A,High Density Surgical Quality Filtration System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,1247,Non Inventory
HH15B,Basic High Density Surgical Quality Filtration System Renovation\CRRestore system to prime condition\CRPerformance and safety testing \CR6 month warranty,,Services,1870,Non Inventory
HH15C,Main High Density Surgical Quality Filtration System Renovation\CRAir loss reduction service\CRRestore system to prime condition\CRAirflow calibration se,,Services,2493,Non Inventory
HH15D,Complete High Density Surgical Quality Filtration System Renovation \CRAir loss reduction service\CRAir distribution system renovation\CRRestore system t,,Services,3116,Non Inventory
HH15E,Complete High Density Surgical Quality Filtration System Renovation \CRAir loss reduction service\CRAir distribution system renovation\CRRestore system t,,Services,3740,Non Inventory
HH16A,High Density Surgical Quality Filtration System Rejuvenation \CRPerformance and safety testing \CR30 day warranty,,Services,1461,Non Inventory
HH16B,Basic High Density Surgical Quality Filtration System Renovation\CRRestore system to prime condition\CRPerformance and safety testing \CR6 month warranty,,Services,2191,Non Inventory
HH16C,Main High Density Surgical Quality Filtration System Renovation\CRAir loss reduction service\CRRestore system to prime condition\CRAirflow calibration se,,Services,2922,Non Inventory
HH16D,Complete High Density Surgical Quality Filtration System Renovation \CRAir loss reduction service\CRAir distribution system renovation\CRRestore system t,,Services,3652,Non Inventory
HH16E,Complete High Density Surgical Quality Filtration System Renovation \CRAir loss reduction service\CRAir distribution system renovation\CRRestore system t,,Services,4383,Non Inventory
HH17A,Single Media or Bacteria Prevention System Only\CRPerformance and safety testing 3\CR0 day warranty,,Services,1111,Non Inventory
HH17B,Low Maintenance Media Filtration and Bacteria Prevention Systems Only\CRPerformance and safety testing \CR6 month warranty,,Services,1666,Non Inventory
HH17C,Main High Density Surgical Quality Filtration System Renovation \CRUltra Violet bacteria prevention system installation\CRAir loss reduction service\CRRe,,Services,2222,Non Inventory
HH17D,Complete High Density Surgical Quality Filtration System Renovation\CRUltra Violet bacteria prevention system installation \CRAir loss reduction service,,Services,2777,Non Inventory
HH17E,Complete High Density Surgical Quality Filtration System Renovation\CRUltra Violet bacteria prevention system installation \CRAir loss reduction service,,Services,3333,Non Inventory
HH18A,Single Media or Bacteria Prevention System Only\CRPerformance and safety testing 3\CR0 day warranty,,Services,1528,Non Inventory
HH18B,Low Maintenance Media Filtration and Bacteria Prevention Systems Only\CRPerformance and safety testing \CR6 month warranty,,Services,2292,Non Inventory
HH18C,Main High Density Surgical Quality Filtration System Renovation \CRUltra Violet bacteria prevention system installation\CRAir loss reduction service\CRRe,,Services,3057,Non Inventory
HH18D,Complete High Density Surgical Quality Filtration System Renovation\CRUltra Violet bacteria prevention system installation \CRAir loss reduction service,,Services,3821,Non Inventory
HH18E,Complete High Density Surgical Quality Filtration System Renovation\CRUltra Violet bacteria prevention system installation \CRAir loss reduction service,,Services,4585,Non Inventory
HH19A,Air Protection System Rejuvenation \CRPerformance and safety testing\CR30 day warranty,,Services,385,Non Inventory
HH19B,Basic Air Protection System Renovation\CRPerformance and calibration service\CRPerformance and safety testing\CR6 month warranty,,Services,577,Non Inventory
HH19C,Main Air Protection System Renovation\CRRestore heat transfer surfaces to prime condition\CRRefrigerant calibration service\CRPerformance and safety test,,Services,769,Non Inventory
HH19D,"Complete Air Protection System Renovation\CRRefrigerant calibration service\CRRestore heat transfer media to prime condition\CRClear, clean and sanitize",,Services,962,Non Inventory
HH19E,"Complete Air Protection System Renovation\CRRefrigerant calibration service\CRRestore heat transfer media to prime condition\CRClear, clean and sanitize",,Services,1154,Non Inventory
HH1A,,,Services,509,Non Inventory
HH1B,,,Services,742,Non Inventory
HH1C,Main Air Protection System Renovation\CRRestore heat transfer surfaces to prime condition\CRRefrigerant calibration service\CRPerformance and safety test,,Services,525,Non Inventory
HH1D,"Complete Air Protection System Renovation\CRRefrigerant calibration service\CRRestore heat transfer media to prime condition\CRClear, clean and sanitize",,Services,657,Non Inventory
HH1E,"Complete Air Protection System Renovation\CRRefrigerant calibration service\CRRestore heat transfer media to prime condition\CRClear, clean and sanitize",,Services,788,Non Inventory
HH20A,Air Protection System Rejuvenation \CRPerformance and safety testing\CR30 day warranty,,Services,566,Non Inventory
HH20B,Basic Air Protection System Renovation\CRPerformance and calibration service\CRPerformance and safety testing\CR6 month warranty,,Services,849,Non Inventory
HH20C,Main Air Protection System Renovation\CRRestore heat transfer surfaces to prime condition\CRRefrigerant calibration service\CRPerformance and safety test,,Services,1132,Non Inventory
HH20D,"Complete Air Protection System Renovation\CRRefrigerant calibration service\CRRestore heat transfer media to prime condition\CRClear, clean and sanitize",,Services,1415,Non Inventory
HH20E,"Complete Air Protection System Renovation\CRRefrigerant calibration service\CRRestore heat transfer media to prime condition\CRClear, clean and sanitize",,Services,1698,Non Inventory
HH21A,Air Protection System Rejuvenation \CRPerformance and safety testing\CR30 day warranty,,Services,736,Non Inventory
HH21B,Basic Air Protection System Renovation\CRPerformance and calibration service\CRPerformance and safety testing\CR6 month warranty,,Services,1104,Non Inventory
HH21C,Main Air Protection System Renovation\CRRestore heat transfer surfaces to prime condition\CRRefrigerant calibration service\CRPerformance and safety test,,Services,1472,Non Inventory
HH21D,"Complete Air Protection System Renovation\CRRefrigerant calibration service\CRRestore heat transfer media to prime condition\CRClear, clean and sanitize",,Services,1840,Non Inventory
HH21E,"Complete Air Protection System Renovation\CRRefrigerant calibration service\CRRestore heat transfer media to prime condition\CRClear, clean and sanitize",,Services,2208,Non Inventory
HH22A,Air Protection System Rejuvenation \CRPerformance and safety testing\CR30 day warranty,,Services,912,Non Inventory
HH22B,Basic Air Protection System Renovation\CRPerformance and calibration service\CRPerformance and safety testing\CR6 month warranty,,Services,1367,Non Inventory
HH22C,Main Air Protection System Renovation\CRRestore heat transfer surfaces to prime condition\CRRefrigerant calibration service\CRPerformance and safety test,,Services,1823,Non Inventory
HH22D,"Complete Air Protection System Renovation\CRRefrigerant calibration service\CRRestore heat transfer media to prime condition\CRClear, clean and sanitize",,Services,2279,Non Inventory
HH22E,"Complete Air Protection System Renovation\CRRefrigerant calibration service\CRRestore heat transfer media to prime condition\CRClear, clean and sanitize",,Services,2735,Non Inventory
HH23A,Electronic Air Protection System Rejuvenation\CRPerformance and safety testing\CR30 day warranty,,Services,722,Non Inventory
HH23B,Basic Electronic Air Protection System Renovation\CRAir protection system restoration service\CRPerformance and safety testing\CR6 month warranty,,Services,1083,Non Inventory
HH23C,Main Electronic Air Protection System Renovation\CRElectrical control system renovation\CRAir protection system restoration service\CRPerformance and saf,,Services,1444,Non Inventory
HH23D,Complete Electronic Air Protection System Renovation\CRElectrical control system renovation\CRElectronic media cell rejuvenation\CRAir protection system,,Services,1805,Non Inventory
HH23E,Complete Electronic Air Protection System Renovation\CRElectrical control system renovation\CRElectronic media cell rejuvenation\CRAir protection system,,Services,2166,Non Inventory
HH24A,Electronic Air Protection System Rejuvenation\CRPerformance and safety testing\CR30 day warranty,,Services,889,Non Inventory
HH24B,Basic Electronic Air Protection System Renovation\CRAir protection system restoration service\CRPerformance and safety testing\CR6 month warranty,,Services,1334,Non Inventory
HH24C,Main Electronic Air Protection System Renovation\CRElectrical control system renovation\CRAir protection system restoration service\CRPerformance and saf,,Services,1778,Non Inventory
HH24D,Complete Electronic Air Protection System Renovation\CRElectrical control system renovation\CRElectronic media cell rejuvenation\CRAir protection system,,Services,2223,Non Inventory
HH24E,Complete Electronic Air Protection System Renovation\CRElectrical control system renovation\CRElectronic media cell rejuvenation\CRAir protection system,,Services,2668,Non Inventory
HH25A,Comfort Control System Rejuvenation \CRPerformance and safety testing\CR30 day warranty,,Services,741,Non Inventory
